145    2.464353e+01  9.105  -13.887  2.386 
150    1.794033e+01  9.830  -14.181  2.399 
155    1.197917e+01  10.489  -14.587  2.404 
160    6.891281e+00  10.839  -14.811  2.464 
165    3.269293e+00  13.167  -15.997  2.519 
170    1.451975e+00  13.887  -16.887  2.985 
175    1.298825e+00  14.310  -17.168  3.020 
180    1.205374e+00  14.243  -17.206  3.160 
185    1.141773e+00  14.420  -17.326  3.132 
190    1.078510e+00  14.171  -17.272  3.228 
195    1.036962e+00  14.673  -17.498  3.204 
200    9.809313e-01  14.126  -17.332  3.289 
