145    4.882680e+00  8.427  -13.049  2.386 
150    3.545565e+00  9.091  -13.323  2.399 
155    2.376297e+00  9.706  -13.702  2.404 
160    1.378503e+00  9.991  -13.878  2.464 
165    6.490397e-01  12.473  -15.125  2.519 
170    2.455918e-01  13.758  -16.500  2.985 
175    2.174294e-01  14.209  -16.823  3.020 
180    2.019724e-01  14.173  -16.875  3.160 
185    1.915326e-01  14.321  -16.984  3.132 
190    1.811573e-01  14.050  -16.916  3.228 
195    1.744460e-01  14.526  -17.132  3.204 
200    1.652226e-01  13.969  -16.956  3.289 
