145    9.858663e+00  8.908  -13.665  2.386 
150    7.129097e+00  9.613  -13.948  2.399 
155    4.743644e+00  10.256  -14.340  2.404 
160    2.727217e+00  10.572  -14.542  2.464 
165    1.286698e+00  12.966  -15.750  2.519 
170    5.387523e-01  13.913  -16.847  2.985 
175    4.802625e-01  14.349  -17.143  3.020 
180    4.458614e-01  14.291  -17.185  3.160 
185    4.225198e-01  14.458  -17.302  3.132 
190    3.993081e-01  14.202  -17.244  3.228 
195    3.841225e-01  14.696  -17.465  3.204 
200    3.635351e-01  14.143  -17.295  3.289 
