145    1.942825e+01  9.074  -13.853  2.386 
150    1.409794e+01  9.795  -14.145  2.399 
155    9.391113e+00  10.451  -14.549  2.404 
160    5.394234e+00  10.795  -14.768  2.464 
165    2.553892e+00  13.135  -15.958  2.519 
170    1.121922e+00  13.896  -16.886  2.985 
175    1.002990e+00  14.322  -17.170  3.020 
180    9.308820e-01  14.256  -17.208  3.160 
185    8.818335e-01  14.431  -17.328  3.132 
190    8.330477e-01  14.181  -17.273  3.228 
195    8.010261e-01  14.682  -17.498  3.204 
200    7.578067e-01  14.133  -17.331  3.289 
