145    4.654752e+01  9.157  -13.940  2.386 
150    3.444716e+01  9.887  -14.238  2.399 
155    2.331625e+01  10.552  -14.650  2.404 
160    1.355363e+01  10.915  -14.882  2.464 
165    6.490169e+00  13.220  -16.059  2.519 
170    2.945952e+00  13.867  -16.883  2.985 
175    2.637898e+00  14.286  -17.159  3.020 
180    2.447839e+00  14.216  -17.195  3.160 
185    2.318359e+00  14.395  -17.317  3.132 
190    2.189559e+00  14.148  -17.264  3.228 
195    2.104891e+00  14.654  -17.491  3.204 
200    1.990868e+00  14.108  -17.326  3.289 
