145    4.482847e+01  9.155  -13.938  2.386 
150    3.312895e+01  9.885  -14.236  2.399 
155    2.239732e+01  10.549  -14.647  2.404 
160    1.300710e+01  10.911  -14.879  2.464 
165    6.223629e+00  13.218  -16.057  2.519 
170    2.821814e+00  13.868  -16.883  2.985 
175    2.526632e+00  14.287  -17.159  3.020 
180    2.344600e+00  14.218  -17.196  3.160 
185    2.220594e+00  14.397  -17.318  3.132 
190    2.097240e+00  14.149  -17.265  3.228 
195    2.016155e+00  14.655  -17.492  3.204 
200    1.906951e+00  14.109  -17.327  3.289 
